Unique_Id_Transaction,Id_ Clients,ItemQty,ItemPrice,Date,Item_Name,Customer_Type, avg_sales_amount,Avg_convertion_Rate, avg_QTY,avg_Traffic,Traffic_Per_day,Tasa de mortalidad (x cada 1.000 habitantes),Índice de pobreza multidimensional - IPM,Tasa de mortalidad infantil en menores de 5 años ,Mortalidad por desnutrición en menores de 5 años,Población total,Penetración de banda ancha,Porcentaje de personas ocupadas formalmente con respecto a la población total,Densidad poblacional,Cobertura de energía eléctrica rural,Inversión - Salud,Inversión - Vivienda,Cobertura de vacunación DPT,Afiliados al SGSSS,Tasa de homicidios de mujeres (x cada 100.000 mujeres) ,Tasa de presuntos delitos sexuales (x cada 100.000 habitantes),Tasa de homicidios de hombres (x cada 100.000 hombres) ,Número acumulado de personas víctimas de minas antipersona
112,5045,4,231,3/20/2018,Nike Air Force 1 Mid By You Valentine's Day,Sporty,49.59,49.59,40.8,47.21,604,3.98,28,12.67,4.09,133811,16.98,29.1,220.45,93.17,61135543086,200621360,90.3,141215,3.3,3.27,35.54,43
113,5051,1,173,3/20/2018,Nike Pegasus 39 By You,Sporty,44.98,44.98,35.63,43.31,480,3.97,59.1,20.79,18.36,31953,3.7,4.9,44.5,97.9,27074103296,82998504,76.1,30257,5.22,4.85,35.1,0
114,5055,2,164,3/20/2018,Nike Air Force 1 Low Unlocked By You,Sporty,46.91,46.91,0.66,44.5,910,3.3,48.7,9.43,,7902,5,5.58,30.75,92.53,6562684928,31658484,88.4,7027,0,34.49,43.91,74
115,5059,4,379,3/20/2018,Nike Air Force 1 Low By You,Sporty,52.44,52.44,3.91,52,318,6.88,37.7,86.96,,5314,3.94,17.34,47.87,100,3662939904,0,88.6,3673,0,118.76,188.41,0
116,5079,3,290,3/20/2018,Nike Air Force 1 Low By Bishop Gorman,Sporty,51.46,51.46,3.99,48.89,1005,5.45,22.2,7.67,21.89,56928,14.57,10.72,273.69,100,19884375439,158269999,100.4,42594,11.74,47.21,35.59,0
117,5086,2,252,3/20/2018,Nike Gripknit Phantom GX Elite FG By You,Sporty,49.56,49.56,20.79,46.97,892,4.63,40.8,20,138.12,6405,6.72,8.09,22.96,98.41,3192735232,0,88,3973,0,88.76,168.87,0
118,5088,2,226,3/20/2018,Nike Air Force 1 Low By You,Sporty,53.2,53.2,7.65,50.73,1119,4.07,14.2,8.7,2.69,578376,22.48,10.4,3830.3,100,1.17641E+11,1984120102,94,408772,3.75,33.15,43.59,16
119,5091,4,224,3/20/2018,Nike Zoom Mercurial Superfly 9 Elite FG By You,Sporty,49.75,49.75,2.98,48.03,735,6.33,53.6,10.1,,10770,6.8,6.62,63.35,99.46,6898188288,96203337,79.6,7359,0,32.65,122.27,0
120,5093,4,280,3/20/2018,Nike Blazer Low '77 By You,Sporty,45.62,45.62,3.04,42.69,838,5.4,53.1,10.99,55.4,16648,5.73,7.33,65.29,98.56,13110061056,0,89.5,15231,0,114.01,44.44,0
121,5101,6,304,3/20/2018,Nike Air Force 1 Mid By You Valentine's Day ,Sporty,50.13,50.13,6.19,48.53,158,6.88,40.4,9.8,,27557,8.87,12.2,96.69,99.39,19872600064,42036677,90.3,26233,0,14.84,87.55,0
122,5107,4,178,3/20/2018,Nike Blazer Mid '77 By Ameena,Sporty,49.46,49.46,11.82,47.54,1137,3.97,55.4,18.87,101.63,8504,4.69,5.94,20.95,95.02,6436203008,107979589,91.4,6519,0,23.01,46.72,55
123,5113,4,180,3/20/2018,Nike Air Force 1 Low By Duncanville,Sporty,48.54,48.54,1.55,47.4,977,2.63,51.3,20.2,,10089,5.37,14.61,27.42,98.05,6117730304,249917076,100.8,7588,0,30.46,28.74,2
124,5001,4,349,3/20/2018,Nike Phantom GX Academy Dynamic Fit MG By You,Sporty,45.9,45.9,29.27,43.04,979,4.68,66.4,25.07,19.39,31798,4.14,2.89,15.93,85.41,19511750656,9500000,92.1,24389,15.44,5.15,10.3,50
125,5001,5,181,3/20/2018,Nike Air Force 1 Low By Sierra Canyon,Sporty,45.24,45.24,8.58,41.96,176,4.04,54.6,32.61,108.23,8940,3.83,4.95,39.91,97.44,7333009408,66739594,106.4,7226,0,12.08,69.9,4
126,5001,2,350,3/20/2018,Nike Air Force 1 High Unlocked By Chloe Kim ,Sporty,53.3,53.3,2.14,50.69,462,5.46,16,4.86,17.22,87385,23.62,14.74,574.9,99.9,20587964599,23291619,102.6,83339,5.03,38.09,38.46,0
127,5001,6,324,3/20/2018,Nike Gripknit Phantom GX Elite Dynamic Fit AG By You,Sporty,47.05,47.05,0.59,44.97,515,3.59,59.3,13.16,,9680,4.09,4.92,47.92,99.39,6075188827,45179960,82.3,6750,0,11.07,21.52,42
128,5001,1,278,3/20/2018,Converse Custom Chuck Taylor All Star High Top,Healthy & Active,48.86,48.86,1.96,44.77,1107,5.23,45.3,8,53.88,16287,4.53,5.82,41.13,93.07,12418534400,309550000,100.5,13351,0,41.76,81.37,10
129,5001,5,144,3/20/2018,Nike Air Max 95 Unlocked By You,Healthy & Active,48.69,48.69,2.11,46.79,183,7.27,35.9,21.28,,4746,8.76,7.66,18.05,89.9,3718429696,12500000,98.2,3901,,21.89,,2
130,5001,4,315,3/20/2018,Nike Air Huarache By You Valentine's Day,Healthy & Active,47.62,47.62,0.3,45.51,491,6.21,30.5,24.39,,4868,8.73,8.25,55.95,98.77,4428033024,0,100,4320,0,,36.05,1
131,5001,2,234,3/20/2018,Nike Air Huarache By You,Healthy & Active,49.74,49.74,33.75,48.38,613,3.83,34.4,11.69,13.53,53572,10.53,10.67,139.51,97.91,26821197824,393051691,96.5,52321,3.51,1.75,52.28,7
132,5001,1,299,3/20/2018,Nike Air Force 1 High Unlocked By You,Healthy & Active,55.57,55.57,2.77,54.26,665,3.7,18.5,5.72,,65553,10.96,22.61,144.71,96.46,18070175744,19567981,106.1,46041,0,40.14,33.18,19
133,5001,5,338,3/20/2018,Nike Air Max 90 By You,Healthy & Active,52.75,52.75,0.59,51.25,355,7.33,20.4,95.24,,4160,11.78,15.85,24.76,97.83,2278780160,119511815,90.6,2797,0,,54.5,0
134,5001,4,135,3/25/2018,Nike Air Max 90 Unlocked By You,Healthy & Active,50.45,50.45,10.96,49.77,911,5.7,36,12.1,7.73,99959,12.98,12.46,94.48,94.32,67517452288,90000000,86.6,99391,3.37,22.63,39.54,4
135,5001,5,168,3/25/2018,Nike Air Force 1 High By You,Healthy & Active,49.33,49.33,41.62,48.06,388,4.46,37.7,14.45,20.9,62678,11.97,8.58,101.92,94.22,37235015680,95252075,93,67277,5.14,1.28,68.79,11
136,5001,4,284,3/25/2018,Nike Air Force 1 Mid By You Valentine's Day,Healthy & Active,52.96,52.96,1.25,52.1,791,8.63,28.8,8.85,122.55,10406,18.86,11.95,221.4,94.3,7250830848,74815200,104.1,9553,0,77.8,88.81,4
137,5001,6,310,3/25/2018,Nike Pegasus 39 By You,Healthy & Active,49.7,49.7,0.28,47.39,735,6.12,42.9,26.46,,15534,4.64,10.29,70.29,97.73,11773608960,194352382,111.8,13706,0,6.68,53.69,73
138,5001,3,379,3/25/2018,Nike Air Force 1 Low Unlocked By You,Healthy & Active,48.22,48.22,0.5,47.88,320,3.36,33,68.18,,4983,5.93,9.04,29.49,97.55,3555132928,11676165,115.2,3483,0,28.88,110.25,3
139,5001,3,291,3/25/2018,Nike Air Force 1 Low By You,Healthy & Active,46.57,46.57,0.5,45.02,952,5.3,48.5,15,,22713,4.28,9.47,97.06,99.58,13748910595,0,91.6,16806,20.07,38.9,47.17,0
140,5001,1,146,3/25/2018,Nike Air Force 1 Low By Bishop Gorman,Healthy & Active,54.73,54.73,0.3,53.02,897,4.55,11.6,6.86,,85706,24.99,15.96,1207.13,100,26352867955,282956724,106.8,63455,2.72,39.42,58.4,0
141,5001,2,200,3/25/2018,Nike Gripknit Phantom GX Elite FG By You,Healthy & Active,44.98,44.98,15.13,42.08,694,3.91,60.5,24.48,36.32,24621,6.47,4.93,12.92,93.92,20334820057,125910863,84.8,22677,0,64.16,41.25,119
142,5001,3,274,3/25/2018,Nike Air Force 1 Low By You,Healthy & Active,52.58,52.58,0.28,51.47,530,4.76,19.7,4.2,,20645,13.37,28.49,112.81,99.94,6599674368,231379952,83.3,19769,0,22,27.25,0
143,5240,5,161,3/25/2018,Nike Zoom Mercurial Superfly 9 Elite FG By You,Healthy & Active,47.73,47.73,0.41,45.52,962,6.28,39.1,10,82.99,12708,5.23,5.43,53.4,96.75,8548872192,4200000,89.1,8858,0,63.95,78.49,0
144,5250,4,204,3/25/2018,Nike Blazer Low '77 By You,Healthy & Active,46.64,46.64,22.61,43.6,455,4.02,53.7,22.13,17.57,56392,7.84,6.64,28.9,89.94,42764607488,1374188387,82.5,55939,0,4.01,150.98,42
145,5264,6,293,3/25/2018,Nike Air Force 1 Mid By You Valentine's Day ,Healthy & Active,51.5,51.5,6.84,50.5,383,2.53,23.1,8.47,,12285,5.02,31.48,55.34,100,2861348096,60700000,117.5,8774,20.82,9.9,132.08,0
146,5266,5,309,3/25/2018,Nike Blazer Mid '77 By Ameena,Healthy & Active,57.94,57.94,3.05,57.42,761,4.88,4.9,2.46,,253699,32.17,25.85,4974.49,100,38484848640,1956404609,95.1,193893,1.69,16.25,15.5,0
147,5282,6,269,3/25/2018,Nike Air Force 1 Low By Duncanville,Healthy & Active,48.93,48.93,0.35,44.51,677,5.58,31.6,7.46,49.68,25924,6.82,12.33,103.7,99.54,9850765312,29335740,95.5,15056,9.47,56.01,128.87,0
148,5284,4,125,3/25/2018,Nike Phantom GX Academy Dynamic Fit MG By You,Healthy & Active,51.58,51.58,11.41,48.91,486,5.42,51.3,21.55,113.44,21679,7.2,7.74,16.96,92.21,17198631840,426816532,103.5,21784,0,120.37,11.81,9
149,5306,3,118,3/25/2018,Nike Air Force 1 Low By Sierra Canyon,Healthy & Active,47.15,47.15,0.22,42.4,499,6.02,33.4,15.38,,6022,3.62,10.35,62.08,88.95,3959866723,26384000,117.1,4439,0,49.89,97.9,0
150,5308,1,330,3/25/2018,Nike Air Force 1 High Unlocked By Chloe Kim ,Healthy & Active,54.82,54.82,71.47,51.81,964,4.78,13.9,11.16,,57024,16.8,20.62,721.82,100,17493405957,61400000,99.4,47744,7.1,19.82,25.6,0
151,5310,1,123,3/25/2018,Nike Gripknit Phantom GX Elite Dynamic Fit AG By You,Healthy & Active,48.95,48.95,25.85,49.56,765,6.41,34.1,17.54,,10390,9.71,7.03,28.54,97.24,5794202112,348192510,84.7,7274,0,46.84,29.52,2
152,5313,5,247,3/25/2018,Converse Custom Chuck Taylor All Star High Top,Healthy & Active,53.81,53.81,0.36,53.96,163,5.17,33.4,8.13,,10226,8.41,7.09,55.28,99.9,7115314176,98810663,100,8306,0,10.14,60.7,77
153,5315,3,201,3/25/2018,Nike Air Max 95 Unlocked By You,Healthy & Active,49.4,49.4,0.16,44.74,1030,5.9,41.1,14.93,,6980,6.3,7.18,79.32,98.41,4552404480,0,89.4,5331,0,15.89,125.71,16
154,5318,6,206,3/25/2018,Nike Air Huarache By You Valentine's Day,Healthy & Active,53.28,53.28,0.36,53,480,4.88,17,17.54,,60921,15.43,19.39,398.18,97.44,14526424701,779979008,97.6,39456,4.12,30.83,45.11,1
155,5321,3,291,3/25/2018,Nike Air Huarache By You,Healthy & Active,55.01,55.01,0.03,53.73,1185,4.91,11.4,13.33,,9121,15.04,23.51,130.3,99.71,3617097508,44263020,103.9,5443,0,38.23,115.83,8
156,5347,3,339,3/25/2018,Nike Air Force 1 High Unlocked By You,Healthy & Active,52.32,52.32,0.81,47.02,440,6.67,37.5,19.23,138.89,5650,5.43,7.41,47.88,99.2,4268573184,6912917,101.7,4286,0,83.54,163.67,0
157,5353,5,123,3/25/2018,Nike Air Max 90 By You,Healthy & Active,56.11,56.11,7.5,50.34,630,3.98,36.9,25,,5855,11.52,11.78,99.24,98.74,3382975488,2071830,98.1,3870,0,20.52,39.98,0
158,5360,5,329,3/25/2018,Nike Air Max 90 Unlocked By You,Healthy & Active,54.44,54.44,6.1,51.47,247,4.93,10.9,8.76,4.76,303766,26.29,23.64,17868.59,100,62305310865,2699279836,93.7,281755,2.88,33.96,19.67,0
159,5361,1,342,3/25/2018,Nike Air Force 1 High By You,Healthy & Active,45.88,45.88,4.09,42.74,817,4.38,57.6,35.57,34.77,29103,3.91,10.18,12.25,93.74,18930710528,426441675,80.3,20978,0,135.74,18.75,238
160,5364,6,259,3/25/2018,Nike Air Force 1 Mid By You Valentine's Day,Healthy & Active,54.36,54.36,10.55,51.69,796,6.62,28.5,20.51,78.93,15531,8.32,10.81,68.42,99.42,10408487936,6875000,103.8,13022,0,7.31,58,1
161,5368,2,164,3/25/2018,Nike Pegasus 39 By You,Healthy & Active,52.17,52.17,2.81,50.38,379,6.16,25.8,21.74,,14354,14.13,15.18,73.61,98.85,8101204992,141286768,81.5,10463,0,16.64,33.84,0
162,5376,3,128,3/25/2018,Nike Air Force 1 Low Unlocked By You,Healthy & Active,54.69,54.69,8.12,54.84,837,4.79,11.5,19.03,,71570,22.84,34.14,538.12,99.82,14582935292,1537387898,103.1,69817,0,82.46,48.89,0
163,5380,5,163,3/25/2018,Nike Air Force 1 Low By You,Healthy & Active,55.72,55.72,2.84,53.62,689,4.76,9.2,8.13,19.91,79103,27.26,26.25,2260.09,100,15456321536,1089726117,82.9,45333,0,28.42,45.09,0
164,5390,1,165,3/25/2018,Nike Air Force 1 Low By Bishop Gorman,Healthy & Active,47.92,47.92,56.1,45.07,167,6.51,31.2,9.01,,8862,11.58,23.91,161.13,99.82,4193024000,5702863.5,164.1,7680,91.74,30.74,154.46,0
165,5400,5,229,3/25/2018,Nike Gripknit Phantom GX Elite FG By You,Healthy & Active,52.24,52.24,0.39,51.69,1157,4.64,23,3.45,,23455,9.3,17.65,117.28,98.81,10003616255,44320385,96.7,19023,0,5.2,20.36,6
166,5411,6,346,3/25/2018,Nike Air Force 1 Low By You,Healthy & Active,48.49,48.49,7.18,45.72,562,6.27,43.3,25.64,125.79,10567,4.2,5.99,48.03,99.79,7916917760,37187589,104.7,8746,0,20.95,39.73,1
167,5425,2,116,3/25/2018,Nike Zoom Mercurial Superfly 9 Elite FG By You,Healthy & Active,53.15,53.15,0.25,51.68,898,7.67,36,8.62,,8638,5.95,24.48,19.81,97.53,6736433152,140585681,105.6,7723,0,29.52,83.66,1
168,5440,1,361,3/25/2018,Nike Blazer Low '77 By You,Healthy & Active,52.8,52.8,0.33,51.76,377,4.22,15.4,11.57,19.68,71117,11.42,25.11,613.08,98.65,19762756629,60267312,105.6,57373,3.72,16.61,51.29,0
169,5467,6,251,3/25/2018,Nike Air Force 1 Mid By You Valentine's Day ,Healthy & Active,49.3,49.3,0.88,46.11,598,3.47,39.5,25.64,,6955,3.67,8.64,82.8,97.61,5386217984,81849338,75.4,5351,0,64.55,31.92,8
170,5475,5,308,3/25/2018,Nike Blazer Mid '77 By Ameena,Healthy & Active,43.4,43.4,85,40.07,303,1.97,81.5,11.24,206.19,5483,1.74,5.02,4.02,100,4250199040,0,108.9,4875,0,43.54,41.95,5
171,5480,3,316,3/25/2018,Nike Air Force 1 Low By Duncanville,Healthy & Active,45.4,45.4,28.55,43.35,957,8.59,57.8,18.52,79.97,15069,8.07,5.54,13.47,88.15,18014482432,0,108,21556,9.57,14.23,122.38,40
172,5483,1,168,3/25/2018,Nike Phantom GX Academy Dynamic Fit MG By You,Healthy & Active,46.19,46.19,0.65,41.81,859,5.1,51.8,7.94,,10417,3.07,3.59,32.86,97.77,7979726135,26889568,103.6,9152,0,5.72,21.86,29
173,5490,4,371,3/25/2018,Nike Air Force 1 Low By Sierra Canyon,Healthy & Active,44.38,44.38,62.21,42.35,794,4.07,62.7,16.74,11.9,46213,4.52,3.75,33.56,97.59,44948530025,823619290,87.3,52372,0,4.69,3.1,2
174,5495,3,289,3/25/2018,Nike Air Force 1 High Unlocked By Chloe Kim ,Healthy & Active,45.66,45.66,35.84,42.88,297,4.16,61.5,16.91,37.13,28653,2.86,3.25,30.98,95.4,23003013120,37651980,86.3,25698,0,3.76,31.08,19
175,5501,2,205,3/25/2018,Nike Gripknit Phantom GX Elite Dynamic Fit AG By You,Healthy & Active,44.47,44.47,2.03,42.25,1113,4.76,33.4,55.56,,3325,7.34,7.14,36.54,88.32,2341784928,0,96.6,1977,0,123.57,57.57,0
176,5541,5,324,3/25/2018,Converse Custom Chuck Taylor All Star High Top,Healthy & Active,49.68,49.68,0.42,49.72,1018,5.37,20,7.91,62.7,22798,21.86,14.32,157.23,99.08,12586251226,32946676,74.2,16524,0,12.62,50.98,2
177,5543,2,313,3/25/2018,Nike Air Max 95 Unlocked By You,Healthy & Active,50.36,50.36,0.16,45.41,900,4.52,53.5,32.79,,8677,3.65,3.94,21.86,98.27,7444806881,274255947,83.1,7224,0,9.04,34.09,6
178,5576,4,235,3/25/2018,Nike Air Huarache By You Valentine's Day,Healthy & Active,47.66,47.66,8.07,44.2,1160,5.99,45.7,18.18,,9148,3.84,8.39,106.37,97.76,6164675584,8134450,121.1,7006,0,56.9,28.26,0
179,5579,4,358,3/25/2018,Nike Air Huarache By You,Healthy & Active,47.27,47.27,13.04,44.17,326,6.52,32.1,9.33,51.28,42638,16.28,15.56,35.59,94.94,26745001984,307429514,93.1,42901,12.36,62.87,72.53,5
180,5585,5,250,3/25/2018,Nike Air Force 1 High Unlocked By You,Healthy & Active,47.71,47.71,8.23,45.42,651,5.01,33.1,29.41,,15123,7.69,7.87,22.64,99.71,8193562112,1347813888,95.6,10146,11.58,5.36,19.59,0
181,5591,6,344,3/25/2018,Nike Air Max 90 By You,Healthy & Active,52.51,52.51,0.48,52.83,718,5.44,29.3,4.48,49.09,19871,10.88,10.16,54.44,99.38,10531702088,65570000,95.1,13085,0,9.76,18.47,4
182,5604,6,154,3/25/2018,Nike Air Max 90 Unlocked By You,Healthy & Active,47.17,47.17,21.54,45.45,331,4.65,42.1,11.57,76.22,31036,6.42,6.15,15.46,79.16,20588347106,614234646,90.6,25199,0,10.03,19.2,37
183,5607,4,298,3/25/2018,Nike Air Force 1 High By You,Healthy & Active,53,53,0.08,51.16,401,4.8,11.7,23.39,,25933,26.74,26.51,93.96,99.24,4669361132,313492156,111.2,12931,0,31.07,30.38,0
184,5615,1,256,3/25/2018,Nike Air Force 1 Mid By You Valentine's Day,Healthy & Active,54.52,54.52,1.21,53.49,297,4.89,9.5,7.47,,149786,26.73,47.91,756.49,98.47,41001271436,8682381982,100.9,167157,8.13,37.63,60.92,2
185,5628,1,266,3/25/2018,Nike Pegasus 39 By You,Healthy & Active,47,47,0.15,46.16,751,5.13,52.8,28.04,,9717,4.86,6.04,36.26,99.24,7062794240,0,96.7,8033,0,12.21,23.41,5
186,5631,4,120,11/22/2018,Nike Air Force 1 Low Unlocked By You,Healthy & Active,57.54,57.54,1.29,56.35,649,4.22,4.5,4.99,37.01,92159,42.44,52.68,6143.93,100,17336399502,1000000000,104.1,65400,0,28.54,20.4,0
187,5642,3,362,11/22/2018,Nike Air Force 1 Low By You,Healthy & Active,50.91,50.91,35.91,48.96,183,5.76,49.7,18.18,46.32,19124,4.33,6.97,45.21,98.32,13468613632,88328744,101.6,15218,23.8,34.21,76.62,0
188,5647,1,135,11/22/2018,Nike Air Force 1 Low By Bishop Gorman,Healthy & Active,46.6,46.6,5.18,45.53,1069,4.97,48.5,12.99,,7625,7.29,6.58,42.6,99.59,4581913088,1000000,88.5,5832,33.64,32.65,0,14
189,5649,5,208,11/22/2018,Nike Gripknit Phantom GX Elite FG By You,Healthy & Active,50.74,50.74,1.6,47.25,373,3.51,30.5,15.15,65.1,16559,9.56,9.74,23.32,94.3,11164211200,136162324,90.2,12857,12.52,24.87,24.77,171
190,5652,1,256,11/22/2018,Nike Air Force 1 Low By You,Healthy & Active,48.85,48.85,0.18,44.85,702,6.75,46.4,12.35,169.78,6169,2.5,7.9,16.76,89.51,5278922730,51124700,84.9,5505,0,19.15,37.02,104
191,5656,2,131,11/22/2018,Nike Zoom Mercurial Superfly 9 Elite FG By You,Healthy & Active,48.3,48.3,7.02,45.7,299,5.03,30.5,7.25,,16778,10.46,14.28,106.87,99.16,8102041513,24250000,86.2,11621,15.8,23.58,187.68,1
192,5658,3,340,11/22/2018,Nike Blazer Low '77 By You,Healthy & Active,51.74,51.74,0.55,46.84,716,2.97,34,25.64,,3943,12.11,15.57,22.79,99.57,1945980672,0,108.3,3143,,29.69,,3
193,5659,1,183,11/22/2018,Nike Air Force 1 Mid By You Valentine's Day ,Healthy & Active,45.36,45.36,87.55,43.5,678,3.89,61.1,7.25,29.45,21945,3.98,4.09,91.06,98.53,19273725952,79055865,80.6,21866,0,3.9,55.38,1
194,5660,2,341,11/22/2018,Nike Blazer Mid '77 By Ameena,Healthy & Active,49.09,49.09,0.47,47.13,862,5.52,32.4,15,,13743,6.99,9.64,30.01,96.33,10244199424,296103662,96.4,13995,0,36.57,34.29,82
195,5664,2,318,11/22/2018,Nike Air Force 1 Low By Duncanville,Healthy & Active,50.48,50.48,0.32,47.96,179,5.48,19.5,19.87,41.32,23972,12.88,17.43,103.33,99.88,9432729392,20000000,103.7,24085,7.53,18.48,58.06,0
196,5665,2,258,11/22/2018,Nike Phantom GX Academy Dynamic Fit MG By You,Healthy & Active,46.29,46.29,7.88,44.62,916,3.86,62.3,14.11,26.54,33667,10.62,5.36,69.85,92.91,29962479616,33006125,86.2,33178,0,9.59,6.24,0
197,5107,2,276,11/22/2018,Nike Air Force 1 Low By Sierra Canyon,Healthy & Active,50.24,50.24,0.27,48.51,988,4.41,36.8,13.42,,16404,8.69,8.91,44.82,97.22,10483892224,220434478,103.3,12484,15.34,77.4,31.24,31
198,5107,2,327,11/22/2018,Nike Air Force 1 High Unlocked By Chloe Kim ,Healthy & Active,48.01,48.01,0.11,46.6,617,5.67,40.8,10.31,55.74,22618,8.64,8.06,50.71,98.58,13892241244,595137562,87.4,17021,0,60.01,35.55,5
199,5107,3,288,11/22/2018,Nike Gripknit Phantom GX Elite Dynamic Fit AG By You,Healthy & Active,50.11,50.11,0.92,51.07,1192,4.67,27.8,15.71,67.52,23531,4.03,7.2,95.65,99.63,12212904960,254367152,103.1,14605,0,5.89,70.65,2
200,5107,4,284,11/22/2018,Converse Custom Chuck Taylor All Star High Top,Healthy & Active,49.66,49.66,0.22,47.38,765,5.79,28.1,24.24,44.86,28471,7.55,7.62,151.44,99.31,15554950144,47767007,89.4,19073,9.08,13.69,27.51,0
201,5107,2,178,3/25/2018,Nike Air Max 95 Unlocked By You,Healthy & Active,52.19,52.19,16.09,49.94,963,5.38,30.9,11.11,32.33,39667,11.27,23.36,48.26,99.3,16270043136,24236426,102.6,36219,0,44.32,21.75,1
202,5107,1,259,3/25/2018,Nike Air Huarache By You Valentine's Day,Healthy & Active,47.25,47.25,1.59,45.39,301,3.81,41.5,25,89.85,12907,4.28,6.34,47.11,98.21,7196469248,0,75,7788,0,9.72,19.01,3
203,5107,5,181,3/25/2018,Nike Air Huarache By You,Healthy & Active,51.9,51.9,0.07,49.21,393,5.22,22,8.02,,38336,6.9,22.01,504.42,99.53,14859882297,16500000,107.6,26697,0,33.12,7.44,7
204,5107,5,218,3/25/2018,Nike Air Force 1 High Unlocked By You,Healthy & Active,47.43,47.43,20.62,43.51,450,6.05,42.8,12.35,23.52,41241,20.86,17.92,33.1,84.92,22390984704,55715800,108.9,37615,10.16,9.83,152.34,42
205,5107,3,380,3/25/2018,Nike Air Max 90 By You,Healthy & Active,49.44,49.44,1.22,46.93,809,5.14,37.9,9.55,28.38,38357,7.41,9.87,28.65,94.31,24139827473,354509821,90.4,30243,11.45,57.05,51.18,87
206,5107,4,306,3/25/2018,Nike Air Max 90 Unlocked By You,Healthy & Active,47.25,47.25,12.57,44.56,951,6.54,28.7,6.8,,16245,10.06,8.38,71.88,97.83,7875938086,181455520,95.7,10833,27.71,60.72,197.29,0
